player,innings_batted,runs,balls_faced,dismissals,batting_avg,strike_rate,highest_score,fifties,hundreds,innings_bowled,balls_bowled,runs_conceded,wickets,economy,bowling_avg
AJ Hosein,3.0,21.0,14.0,0.0,21.0,150.0,16.0,0.0,0.0,8.0,175.0,238.0,9.0,8.16,26.44
AJ Turner,6.0,24.0,31.0,5.0,4.8,77.42,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Tye,13.0,91.0,79.0,9.0,10.11,115.19,25.0,0.0,0.0,30.0,714.0,979.0,42.0,8.23,23.31
AK Markram,66.0,1671.0,1264.0,56.0,29.84,132.2,68.0,10.0,0.0,24.0,230.0,357.0,6.0,9.31,59.5
AL Menaria,23.0,401.0,367.0,21.0,19.1,109.26,40.0,0.0,0.0,12.0,113.0,144.0,3.0,7.65,48.0
AM Ghazanfar,1.0,2.0,3.0,0.0,2.0,66.67,2.0,0.0,0.0,11.0,237.0,389.0,15.0,9.85,25.93
AM Nayar,50.0,672.0,588.0,38.0,17.68,114.29,45.0,0.0,0.0,19.0,239.0,322.0,9.0,8.08,35.78
AM Rahane,197.0,5367.0,4391.0,178.0,30.15,122.23,105.0,35.0,2.0,1.0,6.0,5.0,1.0,5.0,5.0
AM Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,156.0,200.0,7.0,7.69,28.57
AN Ahmed,6.0,36.0,27.0,1.0,36.0,133.33,18.0,0.0,0.0,17.0,362.0,498.0,12.0,8.25,41.5
AN Ghosh,2.0,7.0,8.0,2.0,3.5,87.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,2.0,34.0,23.0,2.0,17.0,147.83,30.0,0.0,0.0,3.0,73.0,112.0,5.0,9.21,22.4
AP Majumdar,4.0,87.0,77.0,4.0,21.75,112.99,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Tare,27.0,339.0,285.0,24.0,14.12,118.95,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR Bawne,1.0,12.0,12.0,0.0,12.0,100.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR Patel,134.0,2089.0,1635.0,97.0,21.54,127.77,66.0,4.0,0.0,173.0,3639.0,4437.0,139.0,7.32,31.92
AS Joseph,5.0,27.0,32.0,1.0,27.0,84.38,15.0,0.0,0.0,22.0,454.0,691.0,21.0,9.13,32.9
AS Rajpoot,7.0,26.0,41.0,5.0,5.2,63.41,8.0,0.0,0.0,29.0,567.0,814.0,24.0,8.61,33.92
AS Raut,16.0,194.0,172.0,9.0,21.56,112.79,36.0,0.0,0.0,5.0,30.0,44.0,0.0,8.8,0.0
